pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,3.969,quadcopter,44.5,394.3,506.0,710.7,275.3,552.5
0,0,0.0,3.969,quadcopter,154.8,423.8,261.6,518.5,208.2,471.1
0,0,0.0,3.969,quadcopter,393.2,394.3,506.0,483.7,449.6,439.0
0,0,0.0,3.969,quadcopter,490.3,418.4,506.0,434.5,498.2,426.4
0,0,0.0,3.969,quadcopter,490.3,468.5,506.0,433.6,498.2,451.0
0,0,0.0,3.969,quadcopter,490.3,468.5,506.0,434.5,498.2,451.5
1,25,1.005,4.453,quadcopter,44.5,393.4,506.0,710.7,275.3,552.0
1,25,1.005,4.453,quadcopter,153.8,422.9,260.6,519.4,207.2,471.1
1,25,1.005,4.453,quadcopter,419.0,394.3,506.0,482.8,462.5,438.5
1,25,1.005,4.453,quadcopter,486.3,416.6,506.0,433.6,496.1,425.1
1,25,1.005,4.453,quadcopter,487.3,414.8,506.0,433.6,496.6,424.2
1,25,1.005,4.453,quadcopter,487.3,416.6,506.0,433.6,496.6,425.1
2,50,2.01,5.377,quadcopter,44.5,393.4,506.0,709.8,275.3,551.6
2,50,2.01,5.377,quadcopter,154.8,393.4,506.0,518.5,330.4,455.9
2,50,2.01,5.377,quadcopter,154.8,422.9,260.6,518.5,207.7,470.7
2,50,2.01,5.377,quadcopter,420.0,393.4,506.0,482.8,463.0,438.1
3,75,3.015,3.852,quadcopter,44.5,394.3,506.0,710.7,275.3,552.5
3,75,3.015,3.852,quadcopter,153.8,423.8,260.6,519.4,207.2,471.6
3,75,3.015,3.852,quadcopter,420.0,394.3,506.0,483.7,463.0,439.0
3,75,3.015,3.852,quadcopter,486.8,418.4,506.0,433.6,496.4,426.0
3,75,3.015,3.852,quadcopter,0.0,439.8,506.0,894.0,253.0,666.9
4,100,4.02,4.823,quadcopter,44.5,394.3,506.0,710.7,275.3,552.5
4,100,4.02,4.823,quadcopter,153.8,424.6,260.6,519.4,207.2,472.0
4,100,4.02,4.823,quadcopter,419.5,394.3,506.0,482.8,462.7,438.5
4,100,4.02,4.823,quadcopter,486.8,418.4,506.0,433.6,496.4,426.0
4,100,4.02,4.823,quadcopter,0.0,0.0,506.0,894.0,253.0,447.0
5,125,5.025,4.787,quadcopter,0.0,404.1,506.0,767.9,253.0,586.0
5,125,5.025,4.787,quadcopter,143.2,430.0,251.5,531.0,197.3,480.5
5,125,5.025,4.787,quadcopter,409.4,404.1,506.0,451.5,457.7,427.8
5,125,5.025,4.787,quadcopter,447.8,475.6,506.0,494.4,476.9,485.0
5,125,5.025,4.787,quadcopter,447.8,475.6,506.0,492.6,476.9,484.1
6,150,6.03,5.682,quadcopter,0.0,406.8,506.0,842.1,253.0,624.5
6,150,6.03,5.682,quadcopter,0.0,575.7,506.0,894.0,253.0,734.9
7,175,7.036,4.67,quadcopter,137.6,452.4,506.0,597.2,321.8,524.8
7,175,7.036,4.67,quadcopter,279.8,452.4,506.0,545.3,392.9,498.9
8,200,8.041,3.852,quadcopter,113.3,460.4,506.0,586.5,309.7,523.4
8,200,8.041,3.852,quadcopter,280.3,460.4,506.0,541.8,393.2,501.1
9,225,9.046,4.853,quadcopter,183.2,452.4,506.0,570.4,344.6,511.4
9,225,9.046,4.853,quadcopter,233.8,590.0,264.6,642.8,249.2,616.4
9,225,9.046,4.853,quadcopter,234.3,591.8,506.0,511.4,370.1,551.6
9,225,9.046,4.853,quadcopter,234.3,621.3,506.0,894.0,370.1,757.7
10,250,10.051,4.023,quadcopter,210.5,430.0,487.8,557.0,349.1,493.5
10,250,10.051,4.023,quadcopter,223.7,430.0,302.6,499.7,263.1,464.9
10,250,10.051,4.023,quadcopter,355.2,435.4,424.5,485.4,389.9,460.4
10,250,10.051,4.023,quadcopter,365.3,492.6,487.8,535.5,426.6,514.0
10,250,10.051,4.023,quadcopter,456.4,492.6,484.7,535.5,470.6,514.0
11,275,11.056,2.617,quadcopter,179.1,457.7,479.2,523.9,329.2,490.8
11,275,11.056,2.617,quadcopter,237.3,458.6,478.2,506.0,357.7,482.3
12,300,12.061,2.82,quadcopter,259.1,432.7,506.0,501.5,382.5,467.1
12,300,12.061,2.82,quadcopter,260.6,432.7,506.0,464.0,383.3,448.3
12,300,12.061,2.82,quadcopter,260.6,432.7,506.0,501.5,383.3,467.1
13,325,13.066,3.198,quadcopter,250.0,232.4,468.6,353.1,359.3,292.8
13,325,13.066,3.198,quadcopter,250.0,251.2,468.6,353.1,359.3,302.2
14,350,14.071,2.797,quadcopter,243.4,211.9,445.8,329.9,344.6,270.9
14,350,14.071,2.797,quadcopter,243.9,228.9,445.8,329.9,344.8,279.4
14,350,14.071,2.797,quadcopter,243.9,211.9,445.8,329.9,344.8,270.9
15,375,15.076,4.358,quadcopter,219.6,286.1,354.7,363.9,287.2,325.0
15,375,15.076,4.358,quadcopter,219.6,292.3,299.6,359.4,259.6,325.9
15,375,15.076,4.358,quadcopter,219.6,292.3,354.7,363.9,287.2,328.1
