pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,34.167,quadcopter,154.8,394.3,506.0,711.6,330.4,552.9
1,25,1.005,27.112,quadcopter,153.3,394.3,506.0,711.6,329.7,552.9
2,50,2.01,20.671,quadcopter,153.3,394.3,506.0,711.6,329.7,552.9
3,75,3.015,26.927,quadcopter,153.3,394.3,506.0,710.7,329.7,552.5
4,100,4.02,20.718,quadcopter,153.3,396.0,506.0,710.7,329.7,553.4
5,125,5.025,25.709,quadcopter,0.0,405.9,506.0,767.9,253.0,586.9
6,150,6.03,13.717,quadcopter,0.0,407.7,506.0,850.2,253.0,628.9
7,175,7.036,9.748,quadcopter,139.7,452.4,506.0,597.2,322.8,524.8
8,200,8.041,20.945,quadcopter,138.1,462.2,506.0,585.6,322.1,523.9
9,225,9.046,9.798,quadcopter,183.2,455.0,506.0,570.4,344.6,512.7
10,250,10.051,15.021,quadcopter,211.5,430.0,489.3,557.0,350.4,493.5
10,250,10.051,15.021,quadcopter,221.6,458.6,302.6,500.6,262.1,479.6
10,250,10.051,15.021,quadcopter,352.7,438.1,424.5,487.2,388.6,462.6
10,250,10.051,15.021,quadcopter,455.4,494.4,380.5,486.3,418.0,490.4
10,250,10.051,15.021,quadcopter,456.4,493.5,480.2,533.7,468.3,513.6
10,250,10.051,15.021,quadcopter,456.4,494.4,481.2,533.7,468.8,514.0
10,250,10.051,15.021,quadcopter,456.4,494.4,480.2,486.3,468.3,490.4
10,250,10.051,15.021,quadcopter,456.4,494.4,480.2,533.7,468.3,514.0
11,275,11.056,26.822,quadcopter,237.3,458.6,479.2,523.0,358.2,490.8
11,275,11.056,26.822,quadcopter,312.7,458.6,368.9,516.7,340.8,487.7
11,275,11.056,26.822,quadcopter,416.9,475.6,428.1,502.4,422.5,489.0
11,275,11.056,26.822,quadcopter,455.4,474.7,468.6,492.6,462.0,483.7
11,275,11.056,26.822,quadcopter,468.6,475.6,478.7,504.2,473.6,489.9
11,275,11.056,26.822,quadcopter,419.0,475.6,479.2,502.4,449.1,489.0
11,275,11.056,26.822,quadcopter,237.3,458.6,479.2,502.4,358.2,480.5
11,275,11.056,26.822,quadcopter,455.4,475.6,468.6,492.6,462.0,484.1
12,300,12.061,18.299,quadcopter,259.6,434.5,499.4,499.7,379.5,467.1
12,300,12.061,18.299,quadcopter,259.6,445.2,505.5,468.5,382.5,456.8
12,300,12.061,18.299,quadcopter,259.6,436.3,505.5,499.7,382.5,468.0
12,300,12.061,18.299,quadcopter,259.6,436.3,505.5,468.5,382.5,452.4
13,325,13.066,22.672,quadcopter,250.0,233.3,469.6,352.2,359.8,292.8
13,325,13.066,22.672,quadcopter,250.0,253.0,469.6,352.2,359.8,302.6
14,350,14.071,42.159,quadcopter,242.4,212.8,444.8,329.9,343.6,271.3
14,350,14.071,42.159,quadcopter,311.2,231.5,262.6,321.8,286.9,276.7
14,350,14.071,42.159,quadcopter,309.7,230.7,358.2,321.8,334.0,276.2
14,350,14.071,42.159,quadcopter,309.7,231.5,403.3,321.8,356.5,276.7
15,375,15.076,18.777,quadcopter,219.1,287.9,354.7,364.8,286.9,326.3
15,375,15.076,18.777,quadcopter,219.1,293.2,354.7,364.8,286.9,329.0
16,400,16.081,15.125,quadcopter,225.2,385.3,292.5,416.6,258.8,401.0
16,400,16.081,15.125,quadcopter,226.7,384.4,292.5,416.6,259.6,400.5
