pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,1.585,quadcopter,152.2,399.0,504.5,562.2,328.4,480.6
1,25,1.005,1.122,quadcopter,152.2,399.0,504.5,562.2,328.4,480.6
2,50,2.01,1.136,quadcopter,0.0,399.0,504.5,830.3,252.3,614.6
3,75,3.015,1.187,quadcopter,152.2,399.0,504.5,562.2,328.4,480.6
4,100,4.02,1.128,quadcopter,0.0,399.0,504.5,830.3,252.3,614.6
5,125,5.025,1.137,quadcopter,0.0,405.1,504.5,830.3,252.3,617.7
6,150,6.03,1.136,quadcopter,0.0,405.1,504.5,847.7,252.3,626.4
7,175,7.036,1.132,quadcopter,128.5,449.6,504.5,892.3,316.5,670.9
8,200,8.041,1.136,quadcopter,132.9,463.6,504.5,892.3,318.7,677.9
9,225,9.046,1.137,quadcopter,167.0,449.6,504.5,864.3,335.8,657.0
10,250,10.051,1.161,quadcopter,207.0,425.2,486.7,556.1,346.9,490.7
11,275,11.056,1.137,quadcopter,195.2,457.5,475.4,522.1,335.3,489.8
12,300,12.061,1.14,quadcopter,253.0,431.3,504.5,502.0,378.8,466.6
13,325,13.066,1.143,quadcopter,245.6,230.5,469.9,351.0,357.8,290.7
14,350,14.071,1.142,quadcopter,238.7,211.3,444.7,329.1,341.7,270.2
15,375,15.076,1.136,quadcopter,217.9,283.7,351.8,363.2,284.9,323.5
16,400,16.081,1.163,quadcopter,224.3,385.0,292.5,415.6,258.4,400.3
17,425,17.086,1.136,quadcopter,233.7,419.1,281.2,437.4,257.4,428.2
18,450,18.091,1.147,quadcopter,240.2,427.8,275.7,447.0,257.9,437.4
19,475,19.096,1.138,quadcopter,171.5,523.8,365.2,742.1,268.3,633.0
20,500,20.102,1.172,quadcopter,0.0,409.5,504.5,820.7,252.3,615.1
21,525,21.107,1.133,quadcopter,0.0,409.5,504.5,818.0,252.3,613.8
22,550,22.112,1.126,quadcopter,0.0,409.5,504.5,820.7,252.3,615.1
23,575,23.117,1.128,quadcopter,0.0,296.0,387.9,602.4,194.0,449.2
24,600,24.122,0.779,,,,,,,
25,625,25.127,1.132,quadcopter,0.0,402.5,504.0,814.6,252.0,608.5
26,650,26.132,1.134,quadcopter,0.0,407.7,504.5,892.3,252.3,650.0
27,675,27.137,0.786,,,,,,,
28,700,28.142,1.137,quadcopter,251.0,457.5,504.0,768.3,377.5,612.9
29,725,29.147,1.13,quadcopter,18.3,411.2,504.5,820.7,261.4,615.9
30,750,30.152,1.127,quadcopter,0.0,411.2,504.5,818.0,252.3,614.6
31,775,31.157,1.141,quadcopter,0.0,409.5,504.5,818.0,252.3,613.8
32,800,32.162,1.126,quadcopter,0.0,409.5,504.5,818.0,252.3,613.8
33,825,33.168,1.147,quadcopter,0.0,409.5,504.5,818.0,252.3,613.8
