pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.0472,drone,120.3,396.2,501.7,829.9,311.0,613.0
1,25,1.005,0.0472,drone,117.9,395.2,502.2,826.2,310.0,610.7
2,50,2.01,0.0463,drone,117.8,395.4,502.2,826.2,310.0,610.8
3,75,3.015,0.0469,drone,119.1,396.6,502.5,824.7,310.8,610.6
4,100,4.02,0.0473,drone,119.2,396.6,502.5,824.7,310.9,610.6
5,125,5.025,0.0513,drone,120.6,401.6,500.8,812.9,310.7,607.2
6,150,6.03,0.0466,drone,111.2,401.6,498.9,837.4,305.0,619.5
7,175,7.036,0.0504,drone,116.4,444.0,487.1,882.3,301.7,663.1
8,200,8.041,0.0506,drone,140.6,449.9,482.3,655.7,311.4,552.8
8,200,8.041,0.0506,drone,132.1,446.0,475.3,880.3,303.7,663.1
8,200,8.041,0.0506,drone,136.2,449.0,481.0,745.4,308.6,597.2
9,225,9.046,0.0513,drone,152.5,441.0,492.6,883.4,322.5,662.2
9,225,9.046,0.0513,drone,161.6,447.7,506.0,573.4,333.8,510.5
10,250,10.051,0.0508,drone,192.4,413.5,500.5,586.1,346.4,499.8
10,250,10.051,0.0508,drone,142.4,410.2,502.9,836.5,322.7,623.4
11,275,11.056,0.0458,,,,,,,
12,300,12.061,0.0508,drone,220.1,419.6,498.9,524.5,359.5,472.0
13,325,13.066,0.0503,drone,208.0,222.3,488.2,349.4,348.1,285.9
14,350,14.071,0.0524,drone,214.9,203.5,464.1,328.8,339.5,266.1
15,375,15.076,0.0465,drone,204.9,274.3,366.8,365.4,285.9,319.8
16,400,16.081,0.0509,drone,215.9,376.5,305.5,417.8,260.7,397.2
17,425,17.086,0.0456,,,,,,,
18,450,18.091,0.0461,,,,,,,
19,475,19.096,0.046,,,,,,,
20,500,20.102,0.0467,drone,118.9,401.4,501.6,814.5,310.2,607.9
21,525,21.107,0.0469,drone,118.9,401.8,501.4,813.9,310.2,607.9
22,550,22.112,0.0466,drone,119.1,403.8,502.4,816.1,310.8,610.0
23,575,23.117,0.0475,drone,81.8,278.9,400.2,677.9,241.0,478.4
24,600,24.122,0.0455,,,,,,,
25,625,25.127,0.0463,drone,117.0,393.8,506.0,809.9,311.5,601.8
26,650,26.132,0.048,drone,104.3,387.6,499.5,833.1,301.9,610.4
27,675,27.137,0.046,,,,,,,
28,700,28.142,0.0504,drone,337.4,458.3,506.0,836.8,421.7,647.5
29,725,29.147,0.0475,drone,126.6,401.8,504.9,820.4,315.7,611.1
30,750,30.152,0.0476,drone,119.3,401.9,501.7,814.2,310.5,608.1
31,775,31.157,0.0463,drone,119.3,402.2,501.6,813.9,310.5,608.0
32,800,32.162,0.0467,drone,118.7,400.9,501.4,816.6,310.1,608.7
33,825,33.168,0.0465,drone,119.1,401.7,504.0,814.7,311.5,608.2
