pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.0704,drone,0.0,0.0,276.2,201.9,138.1,100.9
0,0,0.0,0.0704,drone,54.1,0.0,506.0,291.6,280.1,145.8
0,0,0.0,0.0704,drone,7.0,0.0,276.2,246.6,141.6,123.3
0,0,0.0,0.0704,drone,0.0,0.0,273.4,246.6,136.7,123.3
0,0,0.0,0.0704,drone,0.0,24.8,506.0,246.6,253.0,135.7
0,0,0.0,0.0704,drone,0.0,0.0,506.0,333.5,253.0,166.7
0,0,0.0,0.0704,drone,7.0,0.0,318.5,336.0,162.7,168.0
0,0,0.0,0.0704,drone,0.0,0.0,506.0,288.4,253.0,144.2
0,0,0.0,0.0704,drone,0.0,24.5,506.0,246.2,253.0,135.3
0,0,0.0,0.0704,drone,8.4,24.5,506.0,557.7,257.2,291.1
0,0,0.0,0.0704,drone,0.0,0.0,506.0,512.6,253.0,256.3
0,0,0.0,0.0704,drone,0.0,0.0,506.0,602.4,253.0,301.2
0,0,0.0,0.0704,drone,5.6,113.9,506.0,647.1,255.8,380.5
0,0,0.0,0.0704,drone,0.0,248.3,320.9,470.1,160.5,359.2
0,0,0.0,0.0704,drone,0.0,293.0,228.7,514.8,114.4,403.9
0,0,0.0,0.0704,drone,0.0,293.0,362.8,514.8,181.4,403.9
0,0,0.0,0.0704,drone,0.0,155.7,497.3,514.8,248.6,335.2
0,0,0.0,0.0704,drone,0.0,0.0,506.0,646.7,253.0,323.4
0,0,0.0,0.0704,drone,5.6,0.0,506.0,694.3,255.8,347.1
0,0,0.0,0.0704,drone,0.0,200.4,228.7,559.5,114.4,379.9
0,0,0.0,0.0704,drone,0.0,200.4,362.8,559.5,181.4,379.9
0,0,0.0,0.0704,drone,0.0,245.1,273.4,604.2,136.7,424.6
0,0,0.0,0.0704,drone,6.3,245.1,407.5,604.2,206.9,424.6
0,0,0.0,0.0704,drone,0.0,245.1,499.7,604.2,249.9,424.6
0,0,0.0,0.0704,drone,0.0,289.8,273.4,648.9,136.7,469.4
0,0,0.0,0.0704,drone,51.0,289.8,499.7,648.9,275.4,469.4
0,0,0.0,0.0704,drone,0.0,334.5,276.2,693.6,138.1,514.1
0,0,0.0,0.0704,drone,0.0,334.5,362.8,693.6,181.4,514.1
0,0,0.0,0.0704,drone,0.0,334.5,506.0,693.6,253.0,514.1
0,0,0.0,0.0704,drone,0.0,65.3,506.0,825.5,253.0,445.4
0,0,0.0,0.0704,drone,0.0,379.2,320.9,738.3,160.5,558.8
0,0,0.0,0.0704,drone,6.3,379.2,407.5,738.3,206.9,558.8
0,0,0.0,0.0704,drone,0.0,423.9,499.7,783.0,249.9,603.5
0,0,0.0,0.0704,drone,0.0,468.6,320.9,648.2,160.5,558.4
0,0,0.0,0.0704,drone,0.0,468.6,455.0,648.2,227.5,558.4
0,0,0.0,0.0704,drone,0.0,513.3,410.3,692.8,205.2,603.1
0,0,0.0,0.0704,drone,0.0,513.3,497.3,735.1,248.6,624.2
1,25,1.005,0.0705,drone,0.0,0.0,276.2,201.9,138.1,100.9
1,25,1.005,0.0705,drone,54.1,0.0,506.0,291.6,280.1,145.8
1,25,1.005,0.0705,drone,7.0,0.0,276.2,246.6,141.6,123.3
1,25,1.005,0.0705,drone,0.0,0.0,273.4,246.6,136.7,123.3
1,25,1.005,0.0705,drone,0.0,24.8,506.0,246.6,253.0,135.7
1,25,1.005,0.0705,drone,0.0,0.0,506.0,333.5,253.0,166.7
1,25,1.005,0.0705,drone,7.0,0.0,318.5,336.0,162.7,168.0
1,25,1.005,0.0705,drone,0.0,0.0,506.0,288.4,253.0,144.2
1,25,1.005,0.0705,drone,0.0,24.5,506.0,246.2,253.0,135.3
1,25,1.005,0.0705,drone,8.4,24.5,506.0,557.7,257.2,291.1
1,25,1.005,0.0705,drone,0.0,0.0,506.0,512.6,253.0,256.3
1,25,1.005,0.0705,drone,0.0,0.0,506.0,602.4,253.0,301.2
1,25,1.005,0.0705,drone,5.6,113.9,506.0,647.1,255.8,380.5
1,25,1.005,0.0705,drone,0.0,248.3,320.9,470.1,160.5,359.2
1,25,1.005,0.0705,drone,0.0,293.0,228.7,514.8,114.4,403.9
1,25,1.005,0.0705,drone,0.0,293.0,362.8,514.8,181.4,403.9
1,25,1.005,0.0705,drone,0.0,155.7,497.3,514.8,248.6,335.2
1,25,1.005,0.0705,drone,0.0,0.0,506.0,646.7,253.0,323.4
1,25,1.005,0.0705,drone,5.6,0.0,506.0,694.3,255.8,347.1
1,25,1.005,0.0705,drone,0.0,200.4,228.7,559.5,114.4,379.9
1,25,1.005,0.0705,drone,0.0,200.4,362.8,559.5,181.4,379.9
1,25,1.005,0.0705,drone,0.0,245.1,273.4,604.2,136.7,424.6
1,25,1.005,0.0705,drone,6.3,245.1,407.5,604.2,206.9,424.6
1,25,1.005,0.0705,drone,0.0,245.1,499.7,604.2,249.9,424.6
1,25,1.005,0.0705,drone,0.0,289.8,273.4,648.9,136.7,469.4
1,25,1.005,0.0705,drone,51.0,289.8,499.7,648.9,275.4,469.4
1,25,1.005,0.0705,drone,0.0,334.5,276.2,693.6,138.1,514.1
1,25,1.005,0.0705,drone,0.0,334.5,362.8,693.6,181.4,514.1
1,25,1.005,0.0705,drone,0.0,334.5,506.0,693.6,253.0,514.1
1,25,1.005,0.0705,drone,0.0,65.3,506.0,825.5,253.0,445.4
1,25,1.005,0.0705,drone,0.0,379.2,320.9,738.3,160.5,558.8
1,25,1.005,0.0705,drone,6.3,379.2,407.5,738.3,206.9,558.8
1,25,1.005,0.0705,drone,0.0,423.9,499.7,783.0,249.9,603.5
1,25,1.005,0.0705,drone,0.0,468.6,320.9,648.2,160.5,558.4
1,25,1.005,0.0705,drone,0.0,468.6,455.0,648.2,227.5,558.4
1,25,1.005,0.0705,drone,0.0,513.3,410.3,692.8,205.2,603.1
1,25,1.005,0.0705,drone,0.0,513.3,497.3,735.1,248.6,624.2
2,50,2.01,0.0704,drone,0.0,0.0,276.2,201.9,138.1,100.9
2,50,2.01,0.0704,drone,54.1,0.0,506.0,291.6,280.1,145.8
