pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.019,drone,118.6,397.9,504.2,826.0,311.4,612.0
1,25,1.005,0.0196,drone,119.0,397.7,504.4,825.3,311.7,611.5
2,50,2.01,0.0195,drone,119.0,397.7,504.4,825.3,311.7,611.5
3,75,3.015,0.0198,drone,119.0,397.6,504.5,825.7,311.8,611.7
4,100,4.02,0.0195,drone,119.1,397.5,504.4,825.8,311.8,611.6
5,125,5.025,0.0194,drone,121.6,399.7,502.5,818.2,312.0,608.9
6,150,6.03,0.0232,drone,111.7,402.4,501.3,827.7,306.5,615.1
7,175,7.036,0.0262,drone,120.7,443.1,491.2,888.0,306.0,665.5
8,200,8.041,0.018,,,,,,,
9,225,9.046,0.0188,,,,,,,
10,250,10.051,0.0222,drone,182.3,420.2,497.3,573.5,339.8,496.9
11,275,11.056,0.0187,,,,,,,
12,300,12.061,0.0187,,,,,,,
13,325,13.066,0.0194,drone,218.1,218.3,493.6,355.7,355.8,287.0
14,350,14.071,0.0235,drone,219.0,199.3,463.3,330.4,341.2,264.9
15,375,15.076,0.0205,drone,202.6,272.8,366.1,368.3,284.3,320.6
16,400,16.081,0.0193,drone,215.6,376.7,302.6,418.5,259.1,397.6
17,425,17.086,0.0189,,,,,,,
18,450,18.091,0.0188,,,,,,,
19,475,19.096,0.0178,,,,,,,
20,500,20.102,0.0202,drone,119.6,400.8,501.9,815.5,310.7,608.1
21,525,21.107,0.0204,drone,119.6,400.9,501.9,815.3,310.7,608.1
22,550,22.112,0.0192,drone,119.4,402.9,501.9,815.6,310.7,609.2
23,575,23.117,0.02,drone,84.5,283.9,426.6,657.3,255.6,470.6
24,600,24.122,0.0178,,,,,,,
25,625,25.127,0.0199,drone,117.3,396.2,500.6,803.7,309.0,600.0
26,650,26.132,0.0196,drone,114.2,404.3,506.0,839.7,310.1,622.0
27,675,27.137,0.0191,,,,,,,
28,700,28.142,0.0202,drone,340.7,426.3,506.0,775.0,423.3,600.7
29,725,29.147,0.0202,drone,135.2,401.1,506.0,812.0,320.6,606.5
30,750,30.152,0.0198,drone,119.6,401.0,501.9,815.4,310.7,608.2
31,775,31.157,0.0187,drone,119.6,400.8,501.9,815.3,310.7,608.1
32,800,32.162,0.0193,drone,119.8,401.4,501.9,815.3,310.9,608.3
33,825,33.168,0.0197,drone,119.6,400.9,502.9,815.4,311.3,608.1
