pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.028,drone,119.4,396.3,502.1,823.9,310.7,610.1
1,25,1.005,0.0237,drone,119.1,396.1,502.0,824.2,310.6,610.1
2,50,2.01,0.0157,drone,119.1,396.1,502.0,824.2,310.6,610.1
3,75,3.015,0.0155,drone,119.3,396.0,502.0,823.9,310.7,610.0
4,100,4.02,0.0186,drone,119.4,396.1,502.1,824.0,310.7,610.0
5,125,5.025,0.0233,drone,121.5,400.5,501.7,819.8,311.6,610.2
6,150,6.03,0.0181,drone,109.6,402.8,500.0,824.4,304.8,613.6
7,175,7.036,0.0209,drone,112.5,439.9,494.0,891.1,303.2,665.5
8,200,8.041,0.0196,drone,128.9,452.8,479.0,887.1,304.0,670.0
9,225,9.046,0.0143,,,,,,,
10,250,10.051,0.0212,drone,183.8,417.4,499.6,574.7,341.7,496.1
11,275,11.056,0.0146,,,,,,,
12,300,12.061,0.0146,,,,,,,
13,325,13.066,0.0157,drone,228.7,222.7,487.6,353.9,358.1,288.3
14,350,14.071,0.0154,drone,219.4,201.8,463.0,327.1,341.2,264.5
15,375,15.076,0.0154,drone,203.5,274.7,369.9,367.2,286.7,320.9
16,400,16.081,0.0155,drone,217.6,378.0,304.0,418.8,260.8,398.4
17,425,17.086,0.0145,,,,,,,
18,450,18.091,0.0179,,,,,,,
19,475,19.096,0.0169,,,,,,,
20,500,20.102,0.0163,drone,119.8,401.7,501.6,815.3,310.7,608.5
21,525,21.107,0.0155,drone,119.7,402.0,501.5,815.3,310.6,608.6
22,550,22.112,0.0157,drone,119.8,403.4,501.4,815.4,310.6,609.4
23,575,23.117,0.0157,drone,87.5,287.0,412.7,650.1,250.1,468.5
24,600,24.122,0.0146,,,,,,,
25,625,25.127,0.0423,drone,118.2,396.4,497.9,806.0,308.1,601.2
26,650,26.132,0.016,drone,116.8,399.5,496.3,812.5,306.5,606.0
27,675,27.137,0.0144,,,,,,,
28,700,28.142,0.0205,drone,343.0,424.1,506.0,776.4,424.5,600.3
29,725,29.147,0.0171,drone,134.1,403.1,506.0,811.2,320.0,607.2
30,750,30.152,0.0161,drone,119.9,402.0,501.6,815.4,310.7,608.7
31,775,31.157,0.0162,drone,119.9,402.0,501.5,815.4,310.7,608.7
32,800,32.162,0.0153,drone,119.9,401.3,501.6,815.4,310.7,608.3
33,825,33.168,0.0162,drone,119.8,402.0,502.2,815.1,311.0,608.5
