pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.8126,person,320.9,529.8,503.7,683.9,412.3,606.8
0,0,0.0,0.8126,person,161.1,633.6,270.4,892.6,215.8,763.1
1,25,1.005,0.023,person,165.8,522.4,505.9,891.6,335.8,707.0
1,25,1.005,0.023,person,320.5,530.2,503.7,685.5,412.1,607.8
1,25,1.005,0.023,person,160.2,632.5,270.7,892.1,215.4,762.3
2,50,2.01,0.0165,person,165.8,522.4,505.9,891.6,335.9,707.0
2,50,2.01,0.0165,person,320.4,530.2,503.7,685.4,412.1,607.8
2,50,2.01,0.0165,person,160.3,632.4,270.6,892.1,215.5,762.3
3,75,3.015,0.0216,person,165.7,523.6,505.9,891.7,335.8,707.6
3,75,3.015,0.0216,person,320.1,530.2,503.7,685.1,411.9,607.7
4,100,4.02,0.0178,person,165.6,522.6,505.9,891.7,335.7,707.1
4,100,4.02,0.0178,person,320.1,530.1,503.7,685.3,411.9,607.7
5,125,5.025,0.021,person,164.5,535.9,504.3,892.4,334.4,714.1
5,125,5.025,0.021,person,310.8,547.3,503.7,711.9,407.3,629.6
5,125,5.025,0.021,person,158.7,659.6,269.9,893.6,214.3,776.6
6,150,6.03,0.0178,person,303.6,581.2,503.4,765.1,403.5,673.2
6,150,6.03,0.0178,person,150.3,567.0,504.3,891.4,327.3,729.2
7,175,7.036,0.0143,person,113.6,514.8,505.4,893.0,309.5,703.9
7,175,7.036,0.0143,person,276.6,519.4,504.5,744.4,390.5,631.9
8,200,8.041,0.0151,person,144.4,518.4,506.0,892.7,325.2,705.6
8,200,8.041,0.0151,person,276.7,520.1,504.7,776.7,390.7,648.4
8,200,8.041,0.0151,person,272.6,521.0,504.5,887.2,388.6,704.1
9,225,9.046,0.0171,person,283.9,510.6,504.2,781.0,394.1,645.8
9,225,9.046,0.0171,person,145.5,621.9,376.0,892.9,260.8,757.4
10,250,10.051,0.0134,person,295.5,485.6,503.6,751.5,399.6,618.6
10,250,10.051,0.0134,person,178.6,460.6,504.4,889.3,341.5,674.9
11,275,11.056,0.0124,person,204.1,496.1,506.0,893.0,355.0,694.6
11,275,11.056,0.0124,person,315.8,494.4,505.1,715.3,410.4,604.8
12,300,12.061,0.0173,person,331.3,472.0,503.1,676.9,417.2,574.4
13,325,13.066,0.0197,person,213.5,608.4,505.6,893.4,359.5,750.9
13,325,13.066,0.0197,person,309.7,605.7,504.2,757.1,407.0,681.4
13,325,13.066,0.0197,person,214.2,647.1,317.0,893.4,265.6,770.2
14,350,14.071,0.0188,person,266.6,609.0,505.3,893.4,385.9,751.2
14,350,14.071,0.0188,person,386.3,608.4,503.7,761.7,445.0,685.0
15,375,15.076,0.0177,person,262.3,587.1,504.5,893.2,383.4,740.1
15,375,15.076,0.0177,person,389.5,585.9,503.7,744.1,446.6,665.0
16,400,16.081,0.0164,person,165.0,602.2,505.2,893.3,335.1,747.8
17,425,17.086,0.0155,person,169.5,596.2,505.7,893.0,337.6,744.6
18,450,18.091,0.0144,person,123.7,568.2,504.7,892.9,314.2,730.6
19,475,19.096,0.0125,person,112.0,568.9,504.8,892.7,308.4,730.8
20,500,20.102,0.0138,person,161.1,529.8,504.2,891.3,332.7,710.6
21,525,21.107,0.0178,person,161.5,535.0,504.3,891.5,332.9,713.3
21,525,21.107,0.0178,person,309.3,556.9,503.5,726.0,406.4,641.5
22,550,22.112,0.0184,person,161.5,537.3,504.2,891.5,332.9,714.4
22,550,22.112,0.0184,person,309.5,556.8,503.5,726.3,406.5,641.6
23,575,23.117,0.0163,person,118.2,403.9,505.8,675.4,312.0,539.6
23,575,23.117,0.0163,person,121.2,865.1,144.4,893.6,132.8,879.4
24,600,24.122,0.0551,person,121.3,865.0,143.7,893.6,132.5,879.3
25,625,25.127,0.0184,person,157.2,531.5,500.8,883.0,329.0,707.2
25,625,25.127,0.0184,person,306.0,550.7,499.4,717.8,402.7,634.3
25,625,25.127,0.0184,person,158.5,412.4,500.3,852.5,329.4,632.4
26,650,26.132,0.0127,,,,,,,
27,675,27.137,0.0133,,,,,,,
28,700,28.142,0.0251,person,378.1,544.9,506.0,844.5,442.0,694.7
28,700,28.142,0.0251,person,378.3,615.1,475.5,844.1,426.9,729.6
29,725,29.147,0.0219,person,174.5,550.5,506.0,886.3,340.3,718.4
29,725,29.147,0.0219,person,326.6,556.5,505.1,715.5,415.9,636.0
29,725,29.147,0.0219,person,175.1,623.0,285.7,887.0,230.4,755.0
30,750,30.152,0.0174,person,161.3,533.8,504.2,891.4,332.8,712.6
30,750,30.152,0.0174,person,309.3,556.9,503.5,726.1,406.4,641.5
31,775,31.157,0.0168,person,161.5,536.1,504.2,891.5,332.8,713.8
31,775,31.157,0.0168,person,309.4,556.9,503.4,726.1,406.4,641.5
32,800,32.162,0.0127,person,161.5,536.2,504.2,891.5,332.9,713.9
32,800,32.162,0.0127,person,309.3,556.8,503.4,726.2,406.4,641.5
33,825,33.168,0.0127,person,161.2,529.5,504.4,892.0,332.8,710.8
