pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,1.1678,,,,,,,
1,25,1.005,0.1258,,,,,,,
2,50,2.01,0.1249,,,,,,,
3,75,3.015,0.1271,,,,,,,
4,100,4.02,0.1263,,,,,,,
5,125,5.025,0.1252,,,,,,,
6,150,6.03,0.1184,,,,,,,
7,175,7.036,0.1325,,,,,,,
8,200,8.041,0.1323,,,,,,,
9,225,9.046,0.1271,,,,,,,
10,250,10.051,0.1237,,,,,,,
11,275,11.056,0.1246,,,,,,,
12,300,12.061,0.1338,,,,,,,
13,325,13.066,0.1241,,,,,,,
14,350,14.071,0.1218,,,,,,,
15,375,15.076,0.1234,,,,,,,
16,400,16.081,0.154,,,,,,,
17,425,17.086,0.1515,,,,,,,
18,450,18.091,0.1428,,,,,,,
19,475,19.096,0.1236,,,,,,,
20,500,20.102,0.1373,,,,,,,
21,525,21.107,0.1314,,,,,,,
22,550,22.112,0.1327,,,,,,,
23,575,23.117,0.1287,,,,,,,
24,600,24.122,0.1886,,,,,,,
25,625,25.127,0.2046,,,,,,,
26,650,26.132,0.2324,,,,,,,
27,675,27.137,0.2276,,,,,,,
28,700,28.142,0.2239,,,,,,,
29,725,29.147,0.2321,,,,,,,
30,750,30.152,0.228,,,,,,,
31,775,31.157,0.2313,,,,,,,
32,800,32.162,0.208,,,,,,,
33,825,33.168,0.2086,,,,,,,
