pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.3611,,,,,,,
1,25,1.005,0.029,,,,,,,
2,50,2.01,0.0178,,,,,,,
3,75,3.015,0.0144,,,,,,,
4,100,4.02,0.0133,,,,,,,
5,125,5.025,0.0119,,,,,,,
6,150,6.03,0.012,,,,,,,
7,175,7.036,0.0126,,,,,,,
8,200,8.041,0.0114,,,,,,,
9,225,9.046,0.013,,,,,,,
10,250,10.051,0.0118,,,,,,,
11,275,11.056,0.012,,,,,,,
12,300,12.061,0.0121,,,,,,,
13,325,13.066,0.012,,,,,,,
14,350,14.071,0.0115,,,,,,,
15,375,15.076,0.0613,quadcopter,217.7,285.2,358.2,365.6,287.9,325.4
16,400,16.081,0.1173,quadcopter,221.7,374.6,304.8,417.1,263.2,395.8
17,425,17.086,0.0295,,,,,,,
18,450,18.091,0.0151,,,,,,,
19,475,19.096,0.0125,,,,,,,
20,500,20.102,0.0115,,,,,,,
21,525,21.107,0.0113,,,,,,,
22,550,22.112,0.0112,,,,,,,
23,575,23.117,0.0117,,,,,,,
24,600,24.122,0.012,,,,,,,
25,625,25.127,0.0114,,,,,,,
26,650,26.132,0.0116,,,,,,,
27,675,27.137,0.0115,,,,,,,
28,700,28.142,0.0129,,,,,,,
29,725,29.147,0.0123,,,,,,,
30,750,30.152,0.0115,,,,,,,
31,775,31.157,0.0115,,,,,,,
32,800,32.162,0.0113,,,,,,,
33,825,33.168,0.0117,,,,,,,
